,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
177,19,Grêmio FBPA,Sport Recife,0,1,14,11,8,8,2,6,3,2,17,10,10,19,1,2
178,19,EC Juventude,SC Corinthians,2,1,12,11,5,6,2,2,3,2,10,21,22,12,1,1
179,20,Fluminense FC,Fortaleza EC,2,1,10,12,4,3,5,1,2,6,17,8,10,18,0,1
180,20,Ceará SC,RB Bragantino,1,0,10,9,4,6,2,3,3,4,15,23,23,16,2,1
181,20,EC Vitória,EC Juventude,2,2,18,13,7,4,2,2,4,6,14,8,9,14,2,3
182,20,Sport Recife,São Paulo FC,2,2,8,18,3,5,5,3,4,10,18,14,17,19,0,1
183,20,SC Corinthians,EC Bahia,1,2,24,7,12,1,3,7,9,1,20,12,15,21,6,1
184,20,Santos FC,CR Vasco da Gama,0,6,7,14,3,1,3,2,3,3,12,10,11,12,4,2
185,20,Atlético Mineiro,Grêmio FBPA,1,3,10,8,5,3,1,2,4,4,12,18,19,12,1,0
186,20,SC Internacional,CR Flamengo,1,3,14,16,5,6,0,5,10,5,7,11,12,8,1,3
187,20,Botafogo FR,SE Palmeiras,0,1,15,9,4,5,1,6,4,3,6,6,7,6,2,3
188,20,Mirassol FC,Cruzeiro EC,1,1,21,8,12,3,2,2,7,2,13,15,16,13,2,2
189,21,RB Bragantino,Fluminense FC,4,2,8,21,2,7,5,1,2,11,9,17,18,9,0,1
190,21,Cruzeiro EC,SC Internacional,2,1,15,4,5,1,2,5,5,1,17,10,10,18,0,3
191,21,Grêmio FBPA,Ceará SC,0,0,13,15,5,7,4,5,4,1,12,13,14,12,2,0
192,21,CR Vasco da Gama,SC Corinthians,2,3,12,14,5,6,4,1,3,5,17,15,16,20,1,2
193,21,EC Bahia,Santos FC,2,0,12,8,4,2,3,2,3,0,15,12,12,17,1,1
194,21,Fortaleza EC,Mirassol FC,0,1,14,7,3,1,3,6,11,3,13,14,15,13,2,1
195,21,EC Juventude,Botafogo FR,1,3,16,13,6,5,3,5,5,3,17,10,10,17,2,0
196,21,São Paulo FC,Atlético Mineiro,2,0,10,4,4,2,0,3,5,1,14,17,20,17,0,2
197,21,SE Palmeiras,Sport Recife,3,0,22,10,11,5,1,5,6,3,12,14,14,12,1,1
198,21,CR Flamengo,EC Vitória,8,0,20,2,4,1,1,2,8,1,4,17,17,6,0,2
199,22,Ceará SC,EC Juventude,0,1,13,10,2,6,1,7,4,5,25,17,17,26,2,0
200,22,Botafogo FR,RB Bragantino,4,1,17,7,8,2,2,2,6,8,15,10,10,15,6,1
201,22,Cruzeiro EC,São Paulo FC,1,0,12,14,2,4,5,6,6,9,8,10,11,9,1,1
202,22,CR Flamengo,Grêmio FBPA,1,1,21,6,8,4,0,4,13,0,11,16,18,11,1,1
203,22,Santos FC,Fluminense FC,0,0,9,5,5,3,0,2,6,1,18,12,13,19,7,1
204,22,SC Corinthians,SE Palmeiras,1,1,9,19,5,8,6,1,3,10,16,17,18,16,1,2
205,22,Mirassol FC,EC Bahia,5,1,15,15,2,5,5,5,4,2,6,13,13,7,2,0
206,22,Sport Recife,CR Vasco da Gama,2,3,14,10,5,2,4,2,10,5,9,7,9,10,3,0
207,23,Grêmio FBPA,Mirassol FC,0,1,14,16,7,8,5,5,6,3,15,12,13,15,2,0
208,23,Fortaleza EC,EC Vitória,2,0,13,11,3,7,3,3,4,2,15,14,14,15,0,0
209,23,SE Palmeiras,SC Internacional,4,1,20,7,5,4,2,4,7,1,15,10,10,16,5,0
210,23,Fluminense FC,SC Corinthians,0,1,16,2,3,0,0,4,5,4,18,15,16,19,0,1
211,23,EC Juventude,CR Flamengo,0,2,6,13,1,4,2,1,6,7,11,16,16,12,2,0
212,23,São Paulo FC,Botafogo FR,1,0,11,12,6,6,2,2,4,4,14,11,11,14,5,0
213,23,CR Vasco da Gama,Ceará SC,2,2,17,12,8,5,5,4,3,3,10,19,19,10,1,2
214,23,EC Bahia,Cruzeiro EC,1,2,13,10,4,5,1,4,6,5,12,11,11,12,1,0
215,24,EC Vitória,Fluminense FC,0,1,17,11,8,4,3,4,10,6,14,17,17,14,3,1
216,24,Botafogo FR,Atlético Mineiro,1,0,8,13,3,7,2,1,7,4,8,13,14,9,1,0
217,24,Ceará SC,EC Bahia,1,1,15,14,9,8,4,4,3,6,11,13,13,11,0,3
218,24,SE Palmeiras,Fortaleza EC,4,1,23,8,7,0,4,6,11,2,14,11,11,15,2,3
219,24,Mirassol FC,EC Juventude,2,0,16,12,6,5,3,2,4,11,10,10,10,10,1,0
220,24,CR Flamengo,CR Vasco da Gama,1,1,14,11,6,4,3,2,3,7,12,14,15,12,0,0
221,24,SC Internacional,Grêmio FBPA,2,3,19,6,10,3,0,4,8,1,13,18,18,15,0,2
222,24,Sport Recife,SC Corinthians,1,0,12,19,4,8,4,3,8,7,8,17,17,9,3,1
223,24,Santos FC,São Paulo FC,1,0,19,4,6,3,1,3,4,3,16,15,16,17,1,2
224,24,Cruzeiro EC,RB Bragantino,2,1,13,8,9,2,5,1,7,4,17,9,10,18,0,1
225,25,Fortaleza EC,Sport Recife,1,0,15,12,7,3,6,3,8,5,16,17,17,16,1,3
226,25,CR Vasco da Gama,Cruzeiro EC,2,0,12,21,3,11,4,2,3,9,12,13,13,13,0,1
227,25,EC Juventude,SC Internacional,1,1,14,5,4,3,1,2,7,1,18,20,20,18,1,1
228,25,Atlético Mineiro,Mirassol FC,1,0,11,26,2,12,5,4,4,11,8,11,11,8,0,2
229,25,Grêmio FBPA,EC Vitória,3,1,10,6,1,1,3,3,1,5,10,6,8,13,1,2
230,25,Fluminense FC,Botafogo FR,2,0,8,12,3,8,1,1,4,2,11,10,10,13,4,1
231,25,EC Bahia,SE Palmeiras,1,0,12,11,4,6,4,4,1,4,18,12,13,18,1,3
232,25,RB Bragantino,Santos FC,2,2,8,18,3,5,5,0,5,7,10,10,10,11,1,1
233,25,SC Corinthians,CR Flamengo,1,2,16,13,6,7,0,4,5,3,19,14,16,21,0,0
234,25,São Paulo FC,Ceará SC,0,1,15,7,9,0,5,2,7,3,17,12,14,18,0,0
235,26,Atlético Mineiro,EC Juventude,0,0,13,6,8,2,2,1,5,1,15,11,12,16,2,2
236,26,SE Palmeiras,CR Vasco da Gama,3,0,11,9,3,5,3,3,1,3,15,7,7,15,2,0
237,26,Mirassol FC,RB Bragantino,1,1,14,13,6,4,3,5,12,5,17,12,13,18,2,0
238,26,Sport Recife,Fluminense FC,2,2,12,11,2,4,3,2,3,1,13,15,15,13,3,2
239,26,SC Internacional,SC Corinthians,1,1,10,5,2,2,1,3,3,4,16,21,21,16,4,1
240,26,Botafogo FR,EC Bahia,2,1,15,10,5,5,1,6,6,4,9,19,19,10,2,0
241,26,Santos FC,Grêmio FBPA,1,1,24,4,13,1,0,6,10,0,16,19,20,18,1,1
242,26,EC Vitória,Ceará SC,1,0,9,13,4,9,3,1,6,3,15,14,14,15,3,2
243,26,Fortaleza EC,São Paulo FC,0,2,24,8,9,4,1,5,8,6,9,12,12,9,0,0
244,26,CR Flamengo,Cruzeiro EC,0,0,15,11,5,2,5,2,4,2,17,16,16,19,1,1
245,27,Fluminense FC,Atlético Mineiro,3,0,14,5,2,0,1,7,4,2,13,11,12,14,3,2
246,27,RB Bragantino,Grêmio FBPA,1,0,28,5,12,3,2,6,6,2,6,17,18,7,0,1
247,27,SC Corinthians,Mirassol FC,3,0,10,20,2,8,0,0,2,6,13,18,19,14,0,1
248,27,EC Bahia,CR Flamengo,1,0,11,8,3,2,3,2,3,1,14,20,22,14,1,0
249,27,EC Juventude,Fortaleza EC,1,2,16,8,4,4,1,6,8,1,15,14,14,15,3,2
250,27,Cruzeiro EC,Sport Recife,1,1,27,17,12,7,4,6,10,3,15,9,11,15,5,1
251,27,Ceará SC,Santos FC,3,0,11,17,4,9,5,2,2,7,14,16,16,16,3,1
252,28,SE Palmeiras,RB Bragantino,5,1,26,6,6,3,1,7,8,3,14,7,9,14,2,1
253,28,Botafogo FR,CR Flamengo,0,3,16,11,9,5,1,5,3,2,16,18,21,17,0,0
254,28,Mirassol FC,SC Internacional,3,1,17,6,10,3,2,2,9,2,17,12,12,18,2,1
255,28,Sport Recife,Ceará SC,1,1,17,15,5,2,7,5,5,4,17,13,13,17,1,2
256,28,Santos FC,SC Corinthians,3,1,19,5,9,2,0,2,5,4,12,21,22,12,2,2
257,28,Atlético Mineiro,Cruzeiro EC,1,1,23,4,11,1,1,3,2,1,13,18,20,15,1,0
258,28,Fortaleza EC,CR Vasco da Gama,0,2,27,6,12,2,1,9,10,2,8,14,16,9,2,2
259,28,Grêmio FBPA,São Paulo FC,2,0,18,14,6,10,1,5,5,3,15,11,11,16,0,0
260,28,Fluminense FC,EC Juventude,1,0,13,9,6,5,1,0,8,2,18,12,12,18,0,1
261,28,EC Vitória,EC Bahia,2,1,9,11,1,4,4,3,4,3,7,20,20,8,0,3
262,29,SC Corinthians,Atlético Mineiro,1,0,13,8,6,3,1,0,5,3,20,15,15,20,3,1
263,29,Cruzeiro EC,Fortaleza EC,1,0,10,18,6,9,4,3,3,6,16,13,13,17,1,0
264,29,CR Flamengo,SE Palmeiras,3,2,8,20,2,5,7,1,1,8,16,12,13,16,1,0
265,29,Mirassol FC,São Paulo FC,3,0,12,10,3,5,3,6,3,7,15,11,11,17,0,5
266,29,SC Internacional,Sport Recife,2,0,13,13,5,5,2,3,3,6,11,17,18,13,4,2
267,29,Ceará SC,Botafogo FR,0,2,21,10,10,2,2,2,9,5,13,10,11,14,5,1
268,29,EC Bahia,Grêmio FBPA,4,0,23,13,7,7,1,4,11,5,11,8,9,12,0,0
269,29,EC Juventude,RB Bragantino,1,0,19,9,13,4,1,2,4,2,21,24,24,22,0,3
270,29,CR Vasco da Gama,Fluminense FC,2,0,11,12,3,4,4,3,1,4,18,14,15,19,0,0
271,29,Santos FC,EC Vitória,0,1,13,10,6,5,1,4,3,3,17,13,13,18,1,1
272,30,Atlético Mineiro,Ceará SC,1,0,6,16,1,6,6,2,3,7,12,9,9,13,2,0
273,30,EC Vitória,SC Corinthians,0,1,11,11,7,2,4,2,5,6,11,22,23,13,3,2
274,30,Fluminense FC,SC Internacional,1,0,21,8,8,4,0,6,6,3,9,12,13,10,1,1
275,30,Sport Recife,Mirassol FC,1,2,11,14,3,3,3,2,7,1,8,6,6,9,1,3
276,30,Botafogo FR,Santos FC,2,2,18,9,6,1,5,7,6,6,6,14,14,8,4,0
277,30,RB Bragantino,CR Vasco da Gama,0,3,11,8,4,2,2,1,5,3,6,10,11,7,1,0
278,30,SE Palmeiras,Cruzeiro EC,0,0,13,10,8,3,4,4,4,8,16,24,24,16,2,1
279,31,Santos FC,Fortaleza EC,1,1,15,13,7,2,7,4,7,4,20,14,15,22,2,2
280,31,Cruzeiro EC,EC Vitória,3,1,13,10,3,1,6,7,5,3,11,15,15,11,1,1
281,31,Mirassol FC,Botafogo FR,0,0,10,10,6,5,1,1,7,2,22,11,11,22,2,0
282,31,CR Flamengo,Sport Recife,3,0,24,4,11,0,2,7,9,8,14,14,16,15,0,3
283,31,SC Corinthians,Grêmio FBPA,2,0,13,14,6,7,3,2,5,8,7,13,14,8,0,1
284,31,EC Bahia,RB Bragantino,2,1,17,7,5,3,2,4,4,3,19,11,11,20,1,2
285,31,Ceará SC,Fluminense FC,2,0,14,4,5,0,3,3,4,5,12,12,14,15,2,1
286,31,SC Internacional,Atlético Mineiro,0,0,21,6,4,1,2,8,7,1,9,16,18,10,4,0
287,31,EC Juventude,SE Palmeiras,0,2,12,14,1,3,3,10,4,1,15,15,16,15,0,2
288,31,CR Vasco da Gama,São Paulo FC,0,2,24,11,6,4,4,8,6,5,15,10,11,15,0,2
289,32,RB Bragantino,SC Corinthians,2,1,19,8,5,3,4,4,6,1,15,20,20,15,1,0
290,32,EC Vitória,SC Internacional,1,0,11,9,6,2,4,2,4,4,20,13,13,21,1,3
291,32,Sport Recife,EC Juventude,0,2,14,7,6,3,2,2,4,5,18,20,21,19,4,3
292,32,Botafogo FR,CR Vasco da Gama,3,0,23,12,6,6,0,7,8,3,11,9,10,11,3,0
293,32,Grêmio FBPA,Cruzeiro EC,0,1,17,9,9,3,5,6,5,6,17,13,15,17,2,0
294,32,São Paulo FC,CR Flamengo,2,2,15,15,8,8,0,2,3,5,18,14,14,18,1,1
295,32,Fluminense FC,Mirassol FC,1,0,16,10,8,5,2,3,4,3,9,23,24,10,1,3
296,32,Ceará SC,Fortaleza EC,1,1,13,7,6,1,3,2,5,4,11,16,17,12,1,0
297,32,SE Palmeiras,Santos FC,2,0,31,9,9,5,2,11,13,5,8,9,11,8,0,2
298,33,Sport Recife,Atlético Mineiro,2,4,7,20,2,10,1,2,4,4,6,12,12,6,2,3
299,33,CR Vasco da Gama,EC Juventude,1,3,14,10,6,5,2,3,7,1,15,18,18,15,2,3
300,33,SC Internacional,EC Bahia,2,2,16,16,5,8,2,4,6,5,15,21,22,15,2,3
301,33,São Paulo FC,RB Bragantino,0,1,12,9,6,4,1,3,7,1,20,8,9,20,1,2
302,33,SC Corinthians,Ceará SC,0,1,16,7,5,3,3,5,9,4,19,7,7,20,2,4
303,33,Cruzeiro EC,Fluminense FC,0,0,15,8,10,4,2,5,5,1,16,15,16,16,2,1
304,33,EC Vitória,Botafogo FR,0,0,10,11,6,6,3,0,6,7,18,11,16,21,3,2
305,33,CR Flamengo,Santos FC,3,2,14,18,7,10,2,2,10,3,11,13,14,12,1,1
306,33,Mirassol FC,SE Palmeiras,2,1,17,15,4,3,5,6,8,8,15,13,15,17,2,0
307,33,Fortaleza EC,Grêmio FBPA,2,2,22,21,9,6,4,7,7,5,17,15,15,18,2,1
308,34,Botafogo FR,Sport Recife,3,2,27,15,9,5,2,6,7,5,7,11,11,7,1,3
309,34,Fluminense FC,CR Flamengo,2,1,9,13,4,5,3,1,3,5,12,12,14,12,2,4
310,34,Santos FC,Mirassol FC,1,1,17,16,6,8,1,5,5,7,12,13,13,12,2,1
311,34,Grêmio FBPA,CR Vasco da Gama,2,0,24,5,7,2,2,7,5,3,17,11,12,17,3,1
312,34,EC Juventude,Cruzeiro EC,3,3,12,17,3,6,5,4,3,9,10,18,19,13,1,2
313,34,EC Bahia,Fortaleza EC,2,3,24,11,7,4,2,7,10,2,14,6,6,14,1,2
314,34,SC Corinthians,São Paulo FC,3,1,13,6,7,0,1,1,4,5,16,15,15,17,0,2
315,34,Ceará SC,SC Internacional,1,2,10,16,4,4,4,3,3,5,15,8,8,15,4,2
316,34,RB Bragantino,EC Vitória,4,0,20,7,8,2,4,5,5,0,12,21,21,12,3,3
317,34,Atlético Mineiro,SE Palmeiras,0,3,33,12,14,5,2,9,10,6,15,15,16,15,0,1
318,35,Botafogo FR,Grêmio FBPA,3,2,16,11,4,5,3,4,7,1,7,16,17,8,2,0
319,35,CR Flamengo,RB Bragantino,3,0,23,5,8,3,2,6,4,6,18,10,10,19,2,0
320,35,SE Palmeiras,Fluminense FC,0,0,14,18,5,6,4,2,7,6,19,15,15,19,3,3
321,35,São Paulo FC,EC Juventude,2,1,8,14,2,2,5,3,3,8,18,14,15,18,0,2
322,35,EC Bahia,CR Vasco da Gama,1,0,19,7,8,3,1,3,11,1,10,9,10,11,1,0
323,35,Sport Recife,EC Vitória,1,3,11,14,8,9,3,0,8,2,12,19,19,12,0,0
324,35,Cruzeiro EC,SC Corinthians,3,0,16,4,7,1,0,3,9,3,7,18,18,8,1,3
325,35,Mirassol FC,Ceará SC,3,0,7,14,0,9,2,2,6,12,9,10,11,10,3,3
326,35,Fortaleza EC,Atlético Mineiro,1,0,15,9,7,2,4,3,9,2,10,7,9,10,0,1
327,36,Atlético Mineiro,CR Flamengo,1,1,8,15,3,7,3,3,2,4,8,10,10,8,2,2
328,36,Grêmio FBPA,SE Palmeiras,3,2,19,22,3,8,4,7,5,3,14,10,10,14,0,1
329,36,RB Bragantino,Fortaleza EC,0,1,18,8,9,2,1,3,8,3,7,10,10,9,4,0
330,36,Fluminense FC,São Paulo FC,6,0,16,5,3,3,1,5,3,4,10,7,8,11,0,2
331,36,EC Juventude,EC Bahia,1,1,18,15,3,6,3,5,7,5,15,15,17,15,4,2
332,36,CR Vasco da Gama,SC Internacional,5,1,16,14,5,6,4,3,3,4,14,12,13,14,4,3
333,36,Santos FC,Sport Recife,3,0,17,11,6,4,2,5,9,3,15,11,11,15,2,2
334,36,EC Vitória,Mirassol FC,2,0,16,25,8,8,9,1,3,9,9,15,15,11,0,3
335,36,Ceará SC,Cruzeiro EC,1,1,11,13,4,5,4,2,5,8,13,11,12,14,3,3
336,36,SC Corinthians,Botafogo FR,2,2,14,8,5,5,0,3,7,4,18,12,13,18,2,1
337,37,RB Bragantino,Atlético Mineiro,2,0,20,11,11,3,5,3,3,7,12,14,14,12,1,1
338,37,SE Palmeiras,EC Vitória,0,0,21,4,10,4,0,9,6,3,14,15,16,14,2,1
339,37,CR Vasco da Gama,Mirassol FC,0,2,14,8,4,1,2,5,10,1,8,19,21,10,0,3
340,37,Grêmio FBPA,Fluminense FC,1,2,16,6,5,2,0,6,10,0,12,14,14,14,2,0
341,37,Fortaleza EC,SC Corinthians,2,1,10,20,3,6,6,1,0,7,15,15,15,18,5,0
342,37,EC Juventude,Santos FC,0,3,12,10,6,4,3,3,5,3,11,12,13,12,2,0
343,37,São Paulo FC,SC Internacional,3,0,12,15,4,6,4,4,4,9,19,16,16,19,0,2
344,37,EC Bahia,Sport Recife,2,0,27,7,11,3,3,12,6,2,11,11,11,11,2,1
345,37,CR Flamengo,Ceará SC,1,0,15,1,11,0,1,3,4,3,5,11,11,5,0,0
346,37,Cruzeiro EC,Botafogo FR,2,2,10,8,5,3,3,2,1,7,14,12,12,15,1,1
347,38,Mirassol FC,CR Flamengo,3,3,17,15,8,8,3,5,2,3,9,11,11,10,4,1
348,38,Fluminense FC,EC Bahia,2,0,12,14,4,5,5,3,5,4,18,12,12,22,0,2
349,38,Botafogo FR,Fortaleza EC,4,2,15,8,6,3,2,2,2,2,10,9,11,10,0,3
350,38,SC Corinthians,EC Juventude,1,1,14,16,6,8,3,2,4,7,17,17,18,17,2,3
351,38,Santos FC,Cruzeiro EC,3,0,19,8,7,2,4,4,9,3,10,7,8,12,1,5
352,38,Atlético Mineiro,CR Vasco da Gama,5,0,19,1,8,1,0,2,6,1,4,12,13,4,3,0
353,38,SC Internacional,RB Bragantino,3,1,15,6,6,1,2,1,2,4,15,15,18,15,3,4
354,38,EC Vitória,São Paulo FC,1,0,21,8,6,5,2,7,10,1,18,16,16,18,1,2
355,38,Ceará SC,SE Palmeiras,1,3,18,14,7,4,4,4,7,7,15,14,14,15,3,1
356,38,Sport Recife,Grêmio FBPA,0,4,11,13,3,2,4,3,1,5,15,6,6,15,1,2
